Date,Open,High,Low,Close,Adj Close,Volume
2014-11-14,104.000000,104.589996,103.800003,104.589996,100.056259,192500
2014-11-17,104.459999,104.629997,103.779999,104.220001,99.702301,246000
2014-11-18,104.309998,104.970001,104.239998,104.809998,100.266739,247200
2014-11-19,104.900002,104.900002,103.470001,104.059998,99.549240,320100
2014-11-20,103.550003,104.750000,103.550003,104.750000,100.209335,189000
2014-11-21,105.690002,105.800003,104.660004,105.000000,100.448494,336200
2014-11-24,105.230003,105.839996,105.160004,105.800003,101.213821,271800
2014-11-25,106.080002,106.349998,105.809998,105.870003,101.280777,249000
2014-11-26,105.959999,106.830002,105.889999,106.790001,102.160904,327900
2014-11-28,106.930000,107.379997,106.669998,107.080002,102.438339,135600
2014-12-01,106.830002,106.910004,105.330002,105.769997,101.185112,310900
2014-12-02,105.790001,106.290001,105.440002,106.129997,101.529503,363000
2014-12-03,106.220001,106.919998,106.000000,106.680000,102.055664,214800
2014-12-04,106.669998,107.059998,106.400002,106.739998,102.113068,231400
2014-12-05,106.970001,107.070000,106.559998,106.779999,102.151344,306200
2014-12-08,106.489998,106.699997,104.919998,105.360001,100.792892,363100
2014-12-09,104.080002,106.050003,103.839996,105.959999,101.366875,365800
2014-12-10,105.949997,106.070000,104.070000,104.230003,99.711884,543600
2014-12-11,104.500000,105.910004,104.500000,104.739998,100.199760,277300
2014-12-12,103.849998,104.599998,103.129997,103.160004,98.688248,334500
2014-12-15,103.809998,104.379997,102.099998,102.470001,98.028168,544400
2014-12-16,102.019997,103.459999,101.070000,101.070000,96.688858,585700
2014-12-17,101.400002,103.389999,101.260002,103.160004,98.688248,301400
2014-12-18,103.739998,104.949997,103.470001,104.949997,101.553429,609600
2014-12-19,105.029999,105.599998,104.739998,105.120003,101.717926,280900
2014-12-22,105.620003,106.239998,105.459999,106.239998,102.801666,367400
2014-12-23,106.610001,106.919998,106.489998,106.500000,103.053253,319600
2014-12-24,106.820000,106.870003,106.480003,106.500000,103.053253,270700
2014-12-26,106.779999,107.190002,106.680000,106.889999,103.430641,196800
2014-12-29,106.900002,106.900002,106.300003,106.309998,102.869408,590100
2014-12-30,106.180000,106.320000,105.500000,105.639999,102.221092,219900
2014-12-31,105.949997,106.180000,104.470001,104.480003,101.098640,313200
2015-01-02,105.029999,105.430000,103.540001,104.239998,100.866402,328000
2015-01-05,103.800003,103.849998,102.190002,102.449997,99.134331,566100
2015-01-06,102.669998,102.800003,100.570000,101.129997,97.857056,486200
2015-01-07,101.870003,102.290001,101.290001,102.029999,98.727921,385100
2015-01-08,102.830002,104.589996,102.820000,104.330002,100.953491,703200
2015-01-09,104.830002,104.949997,103.260002,104.059998,100.692207,422900
2015-01-12,104.370003,104.370003,102.389999,102.739998,99.414948,384100
